@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute 'Current Temp' numeric
@attribute 'Atmos Pressure' numeric
@attribute Humidity numeric
@attribute 'Temp Min' numeric
@attribute 'Temp Max' numeric
@attribute Clouds numeric
@attribute 'Wind Speed' numeric
@attribute 'Wind Direction' numeric
@attribute Longitude numeric
@attribute Latitude numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric
@attribute outputs-10 numeric
@attribute outputs-11 numeric
@attribute outputs-12 numeric
@attribute outputs-13 numeric
@attribute outputs-14 numeric
@attribute outputs-15 numeric
@attribute outputs-16 numeric
@attribute outputs-17 numeric
@attribute outputs-18 numeric
@attribute outputs-19 numeric
@attribute outputs-20 numeric
@attribute outputs-21 numeric
@attribute outputs-22 numeric
@attribute outputs-23 numeric
@attribute outputs-24 numeric
@attribute outputs-25 numeric
@attribute outputs-26 numeric

@data
47,'2018/04/29 16:09:58:539',1,12.88,1025,87,12,14,75,4.6,330,151,-33,0.167727,0.041622,0.050009,0.015443,0.909653,0.855624,0.80666,0.487772,0.212946,0.826893,0.659636,0.269095,0.851796,0.335698,0.184041,0.664803,0.930995,0.906354,0.482174,0.013752,0.096652,0.200746,0.851645,0.662536,0.912178,0.463627
48,'2018/04/29 16:09:58:557',1,12.88,1025,87,12,14,75,4.6,330,151,-33,0.167727,0.041622,0.050009,0.015443,0.909653,0.855624,0.80666,0.487772,0.212946,0.826893,0.659636,0.269095,0.851796,0.335698,0.184041,0.664803,0.930995,0.906354,0.482174,0.013752,0.096652,0.200746,0.851645,0.662536,0.912178,0.463627
49,'2018/04/29 16:09:58:575',1,12.88,1025,87,12,14,75,4.6,330,151,-33,0.167727,0.041622,0.050009,0.015443,0.909653,0.855624,0.80666,0.487772,0.212946,0.826893,0.659636,0.269095,0.851796,0.335698,0.184041,0.664803,0.930995,0.906354,0.482174,0.013752,0.096652,0.200746,0.851645,0.662536,0.912178,0.463627
50,'2018/04/29 16:09:58:590',1,12.88,1025,87,12,14,75,4.6,330,151,-33,0.167727,0.041622,0.050009,0.015443,0.909653,0.855624,0.80666,0.487772,0.212946,0.826893,0.659636,0.269095,0.851796,0.335698,0.184041,0.664803,0.930995,0.906354,0.482174,0.013752,0.096652,0.200746,0.851645,0.662536,0.912178,0.463627
51,'2018/04/29 16:09:58:607',1,12.88,1025,87,12,14,75,4.6,330,151,-33,0.167727,0.041622,0.050009,0.015443,0.909653,0.855624,0.80666,0.487772,0.212946,0.826893,0.659636,0.269095,0.851796,0.335698,0.184041,0.664803,0.930995,0.906354,0.482174,0.013752,0.096652,0.200746,0.851645,0.662536,0.912178,0.463627
52,'2018/04/29 16:09:58:623',1,12.88,1025,87,12,14,75,4.6,330,151,-33,0.167727,0.041622,0.050009,0.015443,0.909653,0.855624,0.80666,0.487772,0.212946,0.826893,0.659636,0.269095,0.851796,0.335698,0.184041,0.664803,0.930995,0.906354,0.482174,0.013752,0.096652,0.200746,0.851645,0.662536,0.912178,0.463627
53,'2018/04/29 16:09:58:641',1,12.88,1025,87,12,14,75,4.6,330,151,-33,0.167727,0.041622,0.050009,0.015443,0.909653,0.855624,0.80666,0.487772,0.212946,0.826893,0.659636,0.269095,0.851796,0.335698,0.184041,0.664803,0.930995,0.906354,0.482174,0.013752,0.096652,0.200746,0.851645,0.662536,0.912178,0.463627
54,'2018/04/29 16:09:58:659',1,12.88,1025,87,12,14,75,4.6,330,151,-33,0.167727,0.041622,0.050009,0.015443,0.909653,0.855624,0.80666,0.487772,0.212946,0.826893,0.659636,0.269095,0.851796,0.335698,0.184041,0.664803,0.930995,0.906354,0.482174,0.013752,0.096652,0.200746,0.851645,0.662536,0.912178,0.463627
55,'2018/04/29 16:09:58:675',1,12.88,1025,87,12,14,75,4.6,330,151,-33,0.167727,0.041622,0.050009,0.015443,0.909653,0.855624,0.80666,0.487772,0.212946,0.826893,0.659636,0.269095,0.851796,0.335698,0.184041,0.664803,0.930995,0.906354,0.482174,0.013752,0.096652,0.200746,0.851645,0.662536,0.912178,0.463627
56,'2018/04/29 16:09:58:694',1,12.88,1025,87,12,14,75,4.6,330,151,-33,0.167727,0.041622,0.050009,0.015443,0.909653,0.855624,0.80666,0.487772,0.212946,0.826893,0.659636,0.269095,0.851796,0.335698,0.184041,0.664803,0.930995,0.906354,0.482174,0.013752,0.096652,0.200746,0.851645,0.662536,0.912178,0.463627
57,'2018/04/29 16:09:58:708',1,12.88,1025,87,12,14,75,4.6,330,151,-33,0.167727,0.041622,0.050009,0.015443,0.909653,0.855624,0.80666,0.487772,0.212946,0.826893,0.659636,0.269095,0.851796,0.335698,0.184041,0.664803,0.930995,0.906354,0.482174,0.013752,0.096652,0.200746,0.851645,0.662536,0.912178,0.463627
58,'2018/04/29 16:09:58:724',1,12.88,1025,87,12,14,75,4.6,330,151,-33,0.167727,0.041622,0.050009,0.015443,0.909653,0.855624,0.80666,0.487772,0.212946,0.826893,0.659636,0.269095,0.851796,0.335698,0.184041,0.664803,0.930995,0.906354,0.482174,0.013752,0.096652,0.200746,0.851645,0.662536,0.912178,0.463627
59,'2018/04/29 16:09:58:740',1,12.88,1025,87,12,14,75,4.6,330,151,-33,0.167727,0.041622,0.050009,0.015443,0.909653,0.855624,0.80666,0.487772,0.212946,0.826893,0.659636,0.269095,0.851796,0.335698,0.184041,0.664803,0.930995,0.906354,0.482174,0.013752,0.096652,0.200746,0.851645,0.662536,0.912178,0.463627
60,'2018/04/29 16:09:58:760',1,12.88,1025,87,12,14,75,4.6,330,151,-33,0.167727,0.041622,0.050009,0.015443,0.909653,0.855624,0.80666,0.487772,0.212946,0.826893,0.659636,0.269095,0.851796,0.335698,0.184041,0.664803,0.930995,0.906354,0.482174,0.013752,0.096652,0.200746,0.851645,0.662536,0.912178,0.463627
61,'2018/04/29 16:09:58:775',1,12.88,1025,87,12,14,75,4.6,330,151,-33,0.167727,0.041622,0.050009,0.015443,0.909653,0.855624,0.80666,0.487772,0.212946,0.826893,0.659636,0.269095,0.851796,0.335698,0.184041,0.664803,0.930995,0.906354,0.482174,0.013752,0.096652,0.200746,0.851645,0.662536,0.912178,0.463627
62,'2018/04/29 16:09:58:789',1,12.88,1025,87,12,14,75,4.6,330,151,-33,0.167727,0.041622,0.050009,0.015443,0.909653,0.855624,0.80666,0.487772,0.212946,0.826893,0.659636,0.269095,0.851796,0.335698,0.184041,0.664803,0.930995,0.906354,0.482174,0.013752,0.096652,0.200746,0.851645,0.662536,0.912178,0.463627
63,'2018/04/29 16:09:58:810',1,12.88,1025,87,12,14,75,4.6,330,151,-33,0.167727,0.041622,0.050009,0.015443,0.909653,0.855624,0.80666,0.487772,0.212946,0.826893,0.659636,0.269095,0.851796,0.335698,0.184041,0.664803,0.930995,0.906354,0.482174,0.013752,0.096652,0.200746,0.851645,0.662536,0.912178,0.463627
64,'2018/04/29 16:09:58:823',1,12.88,1025,87,12,14,75,4.6,330,151,-33,0.167727,0.041622,0.050009,0.015443,0.909653,0.855624,0.80666,0.487772,0.212946,0.826893,0.659636,0.269095,0.851796,0.335698,0.184041,0.664803,0.930995,0.906354,0.482174,0.013752,0.096652,0.200746,0.851645,0.662536,0.912178,0.463627
65,'2018/04/29 16:09:58:842',1,12.88,1025,87,12,14,75,4.6,330,151,-33,0.167727,0.041622,0.050009,0.015443,0.909653,0.855624,0.80666,0.487772,0.212946,0.826893,0.659636,0.269095,0.851796,0.335698,0.184041,0.664803,0.930995,0.906354,0.482174,0.013752,0.096652,0.200746,0.851645,0.662536,0.912178,0.463627
66,'2018/04/29 16:09:58:857',1,12.88,1025,87,12,14,75,4.6,330,151,-33,0.167727,0.041622,0.050009,0.015443,0.909653,0.855624,0.80666,0.487772,0.212946,0.826893,0.659636,0.269095,0.851796,0.335698,0.184041,0.664803,0.930995,0.906354,0.482174,0.013752,0.096652,0.200746,0.851645,0.662536,0.912178,0.463627
